DATE,Index,TotalHouses,vacantland,inflation,PPI,RVR,MSP,unemployment rate,population,existinghomesales,monthlysupplyofhouses,permit
01/01/01,109.846,1600,,,142,8.2,169800,4.2,283960,117786,3.8,1699
01/02/01,110.499,1625,,,142.4,8.2,169800,4.2,284166,117786,3.7,1656
01/03/01,111.107,1590,,,142.4,8.2,169800,4.3,284380,117786,3.8,1659
01/04/01,111.65,1649,,,142.5,8.3,179000,4.4,284602,117786,3.9,1666
01/05/01,112.162,1605,,,144.2,8.3,179000,4.3,284834,118216,4,1665
01/06/01,112.795,1636,,,144.3,8.3,179000,4.5,285076,118216,4.2,1626
01/07/01,113.491,1670,,,143.4,8.4,172500,4.6,285324,118216,4.2,1598
01/08/01,114.167,1567,,,143.3,8.4,172500,4.9,285584,118635,4.4,1615
01/09/01,114.811,1562,,,143,8.4,172500,5,285842,118635,4.4,1565
01/10/01,115.308,1540,,,142.3,8.8,171100,5.3,286086,118635,4.3,1566
01/11/01,115.854,1602,,,142.1,8.8,171100,5.5,286315,119061,4.1,1651
01/12/01,116.452,1568,,,141.7,8.8,171100,5.7,286533,119061,3.8,1680
01/01/02,117.143,1698,,,142,9.1,188700,5.7,286739,119061,4.2,1665
01/02/02,117.845,1829,,,142.2,9.1,188700,5.7,286935,119483,4,1787
01/03/02,118.688,1642,,,143.2,9.1,188700,5.7,287131,119483,4.1,1691
01/04/02,119.611,1592,,,143.5,8.4,187200,5.9,287343,119483,4.3,1669
01/05/02,120.724,1764,,,143.8,8.4,187200,5.8,287571,119909,4,1716
01/06/02,121.812,1717,,,144.3,8.4,187200,5.8,287808,119909,4.2,1758
01/07/02,122.887,1655,,,144.7,9,178100,5.8,288051,119909,4.2,1738
01/08/02,123.83,1633,,,145.1,9,178100,5.7,288303,120350,4,1695
01/09/02,124.778,1804,,,145.4,9,178100,5.7,288554,120350,3.9,1803
01/10/02,125.733,1648,,,145,9.3,190100,5.7,288794,120350,4,1799
01/11/02,126.667,1753,,,144.6,9.3,190100,5.9,289012,120792,4,1771
01/12/02,127.621,1788,,,144.3,9.3,190100,6,289214,120792,4,1896
01/01/03,128.46,1853,,,144.4,9.4,186000,5.8,289412,120792,4,1808
01/02/03,129.355,1629,,,145.2,9.4,186000,5.9,289606,121233,4.5,1854
01/03/03,130.147,1726,,,145.2,9.4,186000,5.9,289809,121233,4.1,1757
01/04/03,130.884,1643,,,145.9,9.6,191800,6,290024,121233,4.1,1803
01/05/03,131.734,1751,,,145.8,9.6,191800,6.1,290250,121682,3.9,1835
01/06/03,132.649,1867,,,146.1,9.6,191800,6.3,290484,121682,3.5,1875
01/07/03,133.775,1897,,,147,9.9,191900,6.2,290726,121682,3.6,1885
01/08/03,134.967,1833,,,147.2,9.9,191900,6.1,290974,122159,3.5,1966
01/09/03,136.293,1939,,,149,9.9,191900,6.1,291222,122159,3.8,1961
01/10/03,137.532,1967,,,149.6,10.2,198800,6,291463,122159,3.8,2012
01/11/03,138.794,2083,,,150.2,10.2,198800,5.8,291677,122632,4.1,1918
01/12/03,140.18,2057,,,149.7,10.2,198800,5.7,291868,122632,4,1987
01/01/04,141.647,1911,,,150,10.4,212700,5.7,292046,122632,3.8,1952
01/02/04,143.192,1846,,,153.4,10.4,212700,5.6,292230,123099,3.7,1966
01/03/04,145.059,1998,,,156.5,10.4,212700,5.8,292434,123099,3.6,2066
01/04/04,146.592,2003,,,160.1,10.2,217600,5.6,292651,123099,4,2070
01/05/04,148.183,1981,,,162.7,10.2,217600,5.6,292872,123587,3.8,2150
01/06/04,149.847,1828,,,162,10.2,217600,5.6,293103,123587,3.9,2020
01/07/04,151.335,2002,,,162.2,10.1,213500,5.5,293350,123587,4.5,2112
01/08/04,152.631,2024,,,165.9,10.1,213500,5.4,293603,124096,4.3,2056
01/09/04,154.177,1905,,,167.2,10.1,213500,5.4,293857,124096,4.1,2041
01/10/04,155.75,2072,,,165.9,10,228800,5.5,294104,124096,3.9,2097
01/11/04,157.528,1782,,,165.5,10,228800,5.4,294337,124611,4.3,2079
01/12/04,159.33,2042,,,166.3,10,228800,5.4,294561,124611,4.1,2082
01/01/05,161.288,2144,,,168.6,10.1,232500,5.3,294768,124611,4.4,2139
01/02/05,163.344,2207,,,170.4,10.1,232500,5.4,294955,125118,4.3,2114
01/03/05,165.812,1864,,,170,10.1,232500,5.2,295149,125118,4.1,2062
01/04/05,167.501,2061,,,170,9.8,233700,5.2,295359,125118,4.3,2150
01/05/05,169.351,2025,,,168.1,9.8,233700,5.1,295582,125619,4.2,2085
01/06/05,171.19,2068,,,167.8,9.8,233700,5,295824,125619,4.3,2178
01/07/05,172.859,2054,,,167.2,9.9,236400,5,296077,125619,4.2,2203
01/08/05,174.442,2095,,,165.9,9.9,236400,4.9,296338,126104,4.5,2219
01/09/05,176.437,2151,,,168.9,9.9,236400,5,296606,126104,4.7,2263
01/10/05,178.028,2065,,,171.6,9.6,243600,5,296857,126104,4.5,2170
01/11/05,179.681,2147,,,172.7,9.6,243600,5,297089,126584,5,2218
01/12/05,180.91,1994,,,173.5,9.6,243600,4.9,297311,126584,4.9,2120
01/01/06,182.32,2273,,,177.2,9.5,247700,4.7,297526,126584,5.3,2212
01/02/06,183.286,2119,,,177.7,9.5,247700,4.8,297734,127072,6.1,2141
01/03/06,184.363,1969,,,178.3,9.5,247700,4.7,297950,127072,5.9,2118
01/04/06,184.329,1821,,,179,9.6,246300,4.7,298170,127072,6.3,1998
01/05/06,184.156,1942,,,179.9,9.6,246300,4.6,298401,127548,6.2,1905
01/06/06,183.507,1802,,,180.7,9.6,246300,4.6,298653,127548,6.3,1867
